Category,Designator(s),Qty,Value / Description,Footprint / Package,Primary Sourcing Store,Search Term / Mfr Part #,Est. Unit Cost ($),Est. Extended Cost ($),Sourcing Notes & Alternatives
Capacitors - Film,"C3, C5, C6, C10, C11, C12",6,0.1 µF (100nF) 63V Polyester Film,Box/Polyester Film (5.0mm pitch),SAYAL Electronics (Pickup) or Tayda,100nF Box Capacitor,0.20,1.20,Green Poly/Mylar film caps or Box film caps work great. In stock at Sayal.
Capacitors - Electrolytic,C2,1,22 µF 25V Radial Electrolytic,Radial (2.0mm pitch / D5mm),SAYAL Electronics (Pickup) or Tayda,22uF 25V Radial Capacitor,0.10,0.10,Higher voltage rating like 35V or 50V works fine. In stock at Sayal.
Semiconductors,"Q1, Q2, Q3, Q4",4,2N5088 NPN TO-92 Transistor,TO-92 Inline THT,SAYAL Electronics (Pickup) or Tayda,BC547B / 2N5088 / 2N3904,0.15,0.60,BC547B is easily sourced at Sayal (note pinout: CBE vs EBC). 2N5088 is best for original gain profile.
Semiconductors,"D3, D4, D5, D6",4,1N4148 / 1N914 Silicon Diode,DO-35 Axial THT,SAYAL Electronics (Pickup) or Tayda,1N4148 / 1N914 Diode,0.05,0.20,Standard high-speed silicon switching diode. In stock at Sayal.
Semiconductors,D1,1,1N5817 Schottky Diode,DO-41 Axial THT,SAYAL Electronics (Pickup) or Tayda,1N5817 Diode,0.10,0.10,Reverse-polarity protection. In stock at Sayal.
Semiconductors,D2,1,3mm Red LED,LED 3mm THT,SAYAL Electronics (Pickup) or Tayda,3mm Red LED,0.15,0.15,Status indicator LED. In stock at Sayal.
Semiconductors,F1,1,100mA Polyfuse PTC Resettable Fuse,Bourns MF-RHT100 Radial THT,SAYAL Electronics (Pickup) or Tayda,PTC Resettable Fuse 100mA,0.25,0.25,Protects circuit from short-circuits. In stock at Sayal.
Connectors & Switches,"R5, R23, R26",3,100kΩ Linear 9mm vertical pot,Alpha 9mm Vertical (RD901F),Tayda Electronics (Online),100k ohm linear potentiometer 9mm,0.95,2.85,Sayal does NOT stock this miniature vertical PCB-mount type.
Connectors & Switches,"J2, J3",2,"1/4"" Mono Switched PCB Jack",Neutrik NMJ4HCD2 Custom,Tayda Electronics (Online),"1/4"" Mono Phone Jack Switched",0.99,1.98,Sayal does NOT stock this specific Neutrik PCB-mount footprint.
Connectors & Switches,SW6,1,3PDT Latching Stomp Switch,Custom 9-Pin 4.7mm Pitch THT,Tayda Electronics (Online) or LoveMySwitches,3PDT Latching Footswitch PCB,2.49,2.49,Sayal does NOT stock this heavy duty audio bypass switch.
Connectors & Switches,J1,1,2.1mm DC Barrel Jack PCB Mount,BarrelJack_Horizontal THT,Tayda Electronics or SAYAL,2.1mm DC Power Jack PCB mount,0.25,0.25,Standard pedal power jack. May be found in Sayal connector drawers.
Connectors & Switches,"SW4, SW5",2,14mm Glass Reed Switch (SPST-NO),SW_Reed_14mm_Custom (20mm pitch),DigiKey or Amazon / eBay,"Standex KSK-1A80-1015 / ""14mm reed switch""",1.00,2.00,Custom reed switch footprint. Sourced via Amazon/eBay in small lots or DigiKey.
Connectors & Switches,"J4, J5",2,3-Pin Magnetic Pogo Connector Pair,2.54mm Pitch Straight THT,Adafruit (Online),Adafruit Product ID 5360 (Right Angle),2.75,5.50,Note: Adafruit makes right-angle 5360. Straight version must be sourced from AliExpress/Amazon.
Hardware,BT1,1,9V Heavy Duty Battery Snap,Wire Pads 4.8mm Pitch,SAYAL Electronics (Pickup) or Tayda,9V battery snap vinyl,0.30,0.30,Standard 9V battery snap connector. In stock at Sayal.
